web-scraper-order,web-scraper-start-url,Player,Span,Mat,Inns,Overs,Mdns,Runs,Wkts,BBI,Ave,Econ,Strike Rate,4 Wkts,5 Wkts
"1721717835-26","https://stats.espncricinfo.com/ci/engine/stats/index.html?class=3;home_or_away=1;home_or_away=2;home_or_away=3;result=1;result=2;result=3;result=5;spanmax1=23+Jul+2024;spanmin1=23+Jul+2019;spanval1=span;team=3;template=results;type=bowling","PE Kruger","2024-2024","1","1","1.0","0","8","0","-","-","8.00","-","0","0"
"1721717835-27","https://stats.espncricinfo.com/ci/engine/stats/index.html?class=3;home_or_away=1;home_or_away=2;home_or_away=3;result=1;result=2;result=3;result=5;spanmax1=23+Jul+2024;spanmin1=23+Jul+2019;spanval1=span;team=3;template=results;type=bowling","JT Smuts","2020-2021","5","4","10.0","0","77","0","-","-","7.70","-","0","0"
"1721717835-28","https://stats.espncricinfo.com/ci/engine/stats/index.html?class=3;home_or_away=1;home_or_away=2;home_or_away=3;result=1;result=2;result=3;result=5;spanmax1=23+Jul+2024;spanmin1=23+Jul+2019;spanval1=span;team=3;template=results;type=bowling","GJ Snyman","2021-2021","1","1","1.0","0","12","0","-","-","12.00","-","0","0"
"1721717835-29","https://stats.espncricinfo.com/ci/engine/stats/index.html?class=3;home_or_away=1;home_or_away=2;home_or_away=3;result=1;result=2;result=3;result=5;spanmax1=23+Jul+2024;spanmin1=23+Jul+2019;spanval1=span;team=3;template=results;type=bowling","T Stubbs","2022-2024","26","1","1.0","0","20","0","-","-","20.00","-","0","0"
"1721717835-30","https://stats.espncricinfo.com/ci/engine/stats/index.html?class=3;home_or_away=1;home_or_away=2;home_or_away=3;result=1;result=2;result=3;result=5;spanmax1=23+Jul+2024;spanmin1=23+Jul+2019;spanval1=span;team=3;template=results;type=bowling","GA Stuurman","2021-2021","1","1","2.0","0","28","0","-","-","14.00","-","0","0"
"1721717835-31","https://stats.espncricinfo.com/ci/engine/stats/index.html?class=3;home_or_away=1;home_or_away=2;home_or_away=3;result=1;result=2;result=3;result=5;spanmax1=23+Jul+2024;spanmin1=23+Jul+2019;spanval1=span;team=3;template=results;type=bowling","T Bavuma","2019-2023","36","-","-","-","-","-","-","-","-","-","-","-"
"1721717835-32","https://stats.espncricinfo.com/ci/engine/stats/index.html?class=3;home_or_away=1;home_or_away=2;home_or_away=3;result=1;result=2;result=3;result=5;spanmax1=23+Jul+2024;spanmin1=23+Jul+2019;spanval1=span;team=3;template=results;type=bowling","MP Breetzke","2023-2024","6","-","-","-","-","-","-","-","-","-","-","-"
"1721717835-33","https://stats.espncricinfo.com/ci/engine/stats/index.html?class=3;home_or_away=1;home_or_away=2;home_or_away=3;result=1;result=2;result=3;result=5;spanmax1=23+Jul+2024;spanmin1=23+Jul+2019;spanval1=span;team=3;template=results;type=bowling","D Brevis","2023-2023","2","-","-","-","-","-","-","-","-","-","-","-"
"1721717835-34","https://stats.espncricinfo.com/ci/engine/stats/index.html?class=3;home_or_away=1;home_or_away=2;home_or_away=3;result=1;result=2;result=3;result=5;spanmax1=23+Jul+2024;spanmin1=23+Jul+2019;spanval1=span;team=3;template=results;type=bowling","Q de Kock","2019-2024","56","-","-","-","-","-","-","-","-","-","-","-"
"1721717835-35","https://stats.espncricinfo.com/ci/engine/stats/index.html?class=3;home_or_away=1;home_or_away=2;home_or_away=3;result=1;result=2;result=3;result=5;spanmax1=23+Jul+2024;spanmin1=23+Jul+2019;spanval1=span;team=3;template=results;type=bowling","F du Plessis","2020-2020","6","-","-","-","-","-","-","-","-","-","-","-"
"1721717835-36","https://stats.espncricinfo.com/ci/engine/stats/index.html?class=3;home_or_away=1;home_or_away=2;home_or_away=3;result=1;result=2;result=3;result=5;spanmax1=23+Jul+2024;spanmin1=23+Jul+2019;spanval1=span;team=3;template=results;type=bowling","D Ferreira","2023-2023","2","-","-","-","-","-","-","-","-","-","-","-"
